type,photones,time,instuctions per cycle,description,date
Average,1007.8280425333334,0.03257553333333333,1.94,No flags,2023-04-12
Deviation,41.16560171459385,0.001522185177813645,0,No flags,2023-04-12
Average,666.5788140666666,0.049179333333333325,1.85,-01,2023-04-12
Deviation,13.305793013827241,0.0010489334689207997,0,-01,2023-04-12
Average,885.0980195999999,0.0370642,2.08,-02,2023-04-12
Deviation,28.649655615201617,0.0013074082861396685,0,-02,2023-04-12
Average,886.1926245999999,0.037064466666666664,2.07,-03,2023-04-12
Deviation,39.84016421522302,0.0019662620329503958,0,-03,2023-04-12
Average,1011.6592320666667,0.032433399999999994,1.93,-O3 -march=native -ffast-math,2023-04-12
Deviation,34.77600493435567,0.0012522133364566924,0,-O3 -march=native -ffast-math,2023-04-12
Average,383.86278893333326,0.0854188,2.04,All flags original rand,2023-04-12
Deviation,9.528981470374738,0.002213522267036558,0,All flags original rand,2023-04-12
